classification,confidence,distance,reason,left_file_id,right_file_id,left_path,right_path
exact,1.0,0,Identical SHA-256,file_8bd56950f54193ed,file_c5cab3f9bd2ec712,C:\GitHub\httpssgphs.org\images\timeline\beaumont-depot-1909.png,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont Train Depot\Beaumont Depot 1909 Tyrrell historical libary digital collections.png
exact,1.0,0,Identical SHA-256,file_d89d04468f534a36,file_e14c4a9d82b7c83a,C:\GitHub\httpssgphs.org\images\timeline\beaumont-fire-dept-1971.png,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont Fire Department vintage photos\Beaumont City Fire Department 1971 from Calisphere.png
exact,1.0,0,Identical SHA-256,file_aeecc98513e487fb,file_b9018a7562c07304,C:\GitHub\httpssgphs.org\images\timeline\beaumont-high-school-1930.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont High School now City Hall\Beaumont High School from 1930 BHS yearbook now Beaumont Civic Center.jpg
exact,1.0,0,Identical SHA-256,file_90d681e94af5251c,file_6a17c4fec09e2bbf,C:\GitHub\httpssgphs.org\images\timeline\beaumont-high-school-1942.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont High School now City Hall\Beaumont High School pictured in 1942 yearbook.jpg
exact,1.0,0,Identical SHA-256,file_2e767759fde926ac,file_a11efbd362b74c78,C:\GitHub\httpssgphs.org\images\timeline\beaumont-hotel-c1890.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Hotel Beaumont\Beaumont Hotel.jpg
exact,1.0,0,Identical SHA-256,file_9482dc8ee01375bf,file_730c37d161caecc0,C:\GitHub\httpssgphs.org\images\timeline\centennial-2012.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont city 2012 100th anniversary centennial\Record_Gazette_2012_11_23_1.jpg
exact,1.0,0,Identical SHA-256,file_9c627864db92ffd5,file_160b1988f59af141,C:\GitHub\httpssgphs.org\images\timeline\cherry-festival-queen-1919.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Laura May Stewart\Laura May Stewart-center in back seat-first Cherry Festival Queen in 1919.jpg
exact,1.0,0,Identical SHA-256,file_83dd3466728e72a4,file_76bfd3e94ee255b1,C:\GitHub\httpssgphs.org\images\timeline\cherry-parade-1947.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont Woman's Club\1947 cherry parade in front of Beaumont Woman's Club from Beaumont Library District.jpg
exact,1.0,0,Identical SHA-256,file_a3b7541820c1cdd0,file_bd67fc3e612ba103,C:\GitHub\httpssgphs.org\images\timeline\depot-workers-1940s.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Mexican and other railroad workers\Beaumont train depot workers 1940s a.jpg
exact,1.0,0,Identical SHA-256,file_b2efc4b2e87ff530,file_a1ce9d35619c4bcf,C:\GitHub\httpssgphs.org\images\timeline\desert-sun-1939.jpg,"X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Old City Hall 500 Grace Ave\from fb 12-16-20 Courtesy of the Desert Sun,28 April 1939.jpg"
exact,1.0,0,Identical SHA-256,file_70127c4bb43d1fb5,file_525d50f4fa07ef78,C:\GitHub\httpssgphs.org\images\timeline\edgar-canyon-well-1908.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Beaumont Land and Water Company\Water drilling Edgar Canyon 1908 from Beaumont Library District.jpg
exact,1.0,0,Identical SHA-256,file_ba7bc8aa7a702431,file_490e20f5275a23e8,C:\GitHub\httpssgphs.org\images\timeline\egan-avenue-1907.jpg,X:\My Drive\Projects\Beaumont Library District\historical photos\Beaumont historical photos for BLD\Egan Avenue\Egan Ave looking south 1907 from Beaumont Library District.jpg
