id,title,date_start,date_end,rights_status,rights_note,attribution,research_status,curated,contact
img_1dfdd8cac1f62558,"Studio portrait of Reznor Stewart, c. 1870s-1880s (oval-vignette card portrait)",1870,1890,Public domain,"Unpublished family portrait, photographer unknown/anonymous, created c. 1870s-1880s — rule 8: unpublished anonymous works enter the public domain 120 years after creation (by ~2010 at the latest for this window). Courtesy credit: Stewart family collection via Beaumont Library District; as a practical matter, clear reproduction of BLD's physical print with BLD.","Stewart family collection, via Beaumont Library District",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_c15c20a838d86c18,Stewart Ranch grain harvest,1884,1909,Copyrighted,"Copyrighted — Laura May Stewart Trust (Marilyn Vonderheide, per the Calisphere record).","Beaumont Library District, via Calisphere (CBEA_147, ark:/13030/c87p8xrn); rights: Copyrighted — Laura May Stewart Trust",Researched,True,"Laura May Stewart Trust (contact via the Calisphere record's noted trustee, Marilyn Vonderheide, through Beaumont Library District)"
img_72d13585ff607c22,"Captain John Morongo, c. 1890",1885,1898,Unclear,Huntington Library print (photCL 39) requires their permission for reproduction; the Banning Library District also holds a print (CBAN_120).,"Huntington Library, Weinland Collection (photCL 39 (126)); Banning Library District print via Calisphere (CBAN_120, ark:/13030/c8d798dr); photograph by Cramer's California Gallery, 402 Kearny St., San Francisco",Researched,True,"Banning Library District, 21 W. Nicolet St, Banning CA 92220 · (951) 849-3192 · banninglibrarydistrict.org | Huntington Library, Art Museum, and Botanical Gardens — Reproductions: hdl.huntington.org / permissions@huntington.org"
img_5658eba56b079aef,Egan Avenue,1885,1895,Unclear,"Calisphere/BLD rights statement: ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)."" Next action: request reproduction permission from the Beaumont Library District, standard practice for this collection.","Beaumont Library District Local History Collection, via Calisphere (CBEA_174)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_049b709d6ffb773a,"Beaumont and the San Gorgonio Pass from the hills south of town (Hotel Beaumont at right), negative no. 2099",1887,1909,Unclear,"Photographer unidentified; almost certainly public domain — the view predates the 1909 Hotel Beaumont fire, so any period publication was before 1931 (95-year term expired), and a pre-1906 unpublished anonymous work is also past the 120-year term — but neither path is yet demonstrable because the negative series is unidentified and creation could fall 1906-1909. Next action: match negative no. 2099 against the C.C. Pierce / California Historical Society series at USC Digital Library and the Huntington's Pierce holdings to confirm photographer and publication.",Unknown,Researched,False,
img_70f5802804fd1652,"Southern Pacific depot, Peter Allen's store, and the Hotel Beaumont — postcard view of early Beaumont",1887,1909,Public domain,"Postcard of a scene that demonstrably predates the August 1909 Hotel Beaumont fire; cards of this view were period products (c. 1905-1910s), published before 1931 — U.S. copyright expired (95-year term). Even if the negative predates the card, an anonymous pre-1906 photograph is also past the 120-year unpublished term. Courtesy credit (not rights holder): Karen Sumner Noordman collection, scan provided 1-12-2023. Confirm printing era from the card back when rescanned.",Karen Sumner Noordman collection,Researched,False,
img_43eb34083eb2296d,"Edinburgh Hotel Real Estate Banquet, near 5th and Beaumont Ave",1888,1888,Unclear,"Calisphere rights statement (verbatim, operative phrase): ""Copyright status unknown. Some materials in these collections may be protected by the U.S. Copyright Law (Title 17, U.S.C.)..."" — rule 1 boilerplate, so status is Unclear. Next action: request reproduction permission from the Beaumont Library District, standard practice for this collection. (An unpublished album print, so the rule-2 pre-1931 publication override does not apply.)","Beaumont Library District Local History Collection, via Calisphere (CBEA_039)",Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_5f9b3935055576a5,"Beaumont School students and teachers, 1890–1893 (identified by BLD as the first Wellwood School building)",1890,1893,Permission required,"Beaumont Library District physical holding (rule 7). Underlying copyright has expired — anonymous, unpublished photograph created 1890–93, 120-year unpublished term long past — but BLD controls reproduction of its physical print. Next action: request reproduction permission from the Beaumont Library District.",Beaumont Library District,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_31bfa277fbd3230d,"Beaumont schoolhouse (predecessor of the Wellwood School) with pupils and horse-drawn buggy, c. 1890s",1890,1900,Public domain,"Unpublished photograph by an unknown photographer, created c. 1890s — the anonymous unpublished term (120 years from creation) has expired (rights rule 8). Courtesy credit: Beaumont Library District collection.",Unknown photographer; Beaumont Library District collection,Researched,False,"Beaumont Library District, 125 E. 8th St, Beaumont CA 92223 · (951) 845-1357 · beaumontlibrary.org"
img_17d9fad337a3fded,"Council house (kishumnawat), Morongo Reservation",1890,1899,Permission required,Huntington Library (photCL 39); reproduction for the mural requires their permission.,"Huntington Library, William H. Weinland Photograph Collection (photCL 39 vol. 3 (20)); the catalog file is a low-resolution comp",Researched,True,"Huntington Library, Art Museum, and Botanical Gardens — Reproductions: hdl.huntington.org / permissions@huntington.org"
